,id,address_v4,address_v6,asn_v4,asn_v6,prefix_v4,prefix_v6,is_anchor,is_public,status,status_since,first_connected,total_uptime,tags,country_code,latitude,longitude,day,probe,status_name,metro_area
6288,6288,152.195.252.99,2606:2800:4254:c::a,15133,15133,152.195.252.0/24,2606:2800:4254::/48,True,True,3,1600731269,1497516783,88176197,"['system-dns-problem-suspected', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,39.9515,-75.1685,20210906,https://atlas.ripe.net/api/v2/probes/6288/,Abandoned,Philadelphia
6289,6289,152.195.64.35,2606:2800:4204:c::a,15133,15133,152.195.64.0/24,2606:2800:4204::/48,True,True,1,1628812463,1497877327,129100466,"['system-ipv6-stable-1d', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv4-stable-1d', 'system-ipv6-stable-30d', 'system-ipv4-stable-30d', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,39.0415,-77.4885,20210906,https://atlas.ripe.net/api/v2/probes/6289/,Connected,Ashburn
6290,6290,46.22.79.34,2606:2800:4010:c::a,15133,15133,46.22.79.0/24,2606:2800:4010::/48,True,True,3,1620283257,1497968522,122158924,"['system-anchor', 'system-dns-problem-suspected', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable']",US,37.3375,-121.8885,20210906,https://atlas.ripe.net/api/v2/probes/6290/,Abandoned,San Jose
6292,6292,152.199.96.35,2606:2800:4111:c::a,15133,15133,152.199.96.0/24,2606:2800:4111::/48,True,True,1,1626856492,1499864150,115101038,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv6-stable-30d', 'system-ipv4-stable-30d', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,39.7385,-104.9885,20210906,https://atlas.ripe.net/api/v2/probes/6292/,Connected,Denver
6341,6341,192.136.136.221,2001:500:110::221,10745,10745,192.136.136.0/24,2001:500:110::/48,True,True,1,1628173458,1520151709,110664463,"['system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv6-stable-1d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-ipv6-stable-90d', 'system-ipv6-stable-30d', 'system-v2-soekris', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,38.8875,-77.4305,20210906,https://atlas.ripe.net/api/v2/probes/6341/,Connected,Chantilly
6343,6343,204.42.254.42,2001:418:3f4:0:204:42:254:42,2914,2914,204.42.0.0/16,2001:418::/32,True,True,1,1625026772,1520583856,110295442,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv6-stable-30d', 'system-ipv4-stable-30d', 'system-virtual', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,41.8485,-87.6205,20210906,https://atlas.ripe.net/api/v2/probes/6343/,Connected,Chicago
6373,6373,69.30.249.206,2001:4858:aaaa:3c:ffff::2,32097,32097,69.30.192.0/18,2001:4858::/32,True,True,1,1630742890,1531297350,99605820,"['system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-doesnt-work', 'system-ipv4-works', 'system-ipv6-capable', 'system-ipv4-stable-30d', 'system-ipv4-stable-90d', 'system-v3-pc-engines', 'system-ipv4-capable', 'system-anchor']",US,39.0985,-94.5795,20210906,https://atlas.ripe.net/api/v2/probes/6373/,Connected,Downtown Kansas City
6379,6379,104.225.3.74,2607:fc50:4000:11::2,36236,36236,104.225.2.0/23,2607:fc50:4000::/41,True,True,1,1624990593,1532593380,98370518,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-v3-pc-engines', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,35.9315,-78.8795,20210906,https://atlas.ripe.net/api/v2/probes/6379/,Connected,Durham
6388,6388,208.40.192.202,2607:f4d0:500:7::2,17054,17054,208.40.192.0/20,2607:f4d0:500::/40,True,True,1,1629772131,1534321391,96639465,"['system-ipv4-stable-1d', 'system-ipv6-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv6-stable-30d', 'system-ipv6-stable-90d', 'system-ipv4-stable-90d', 'system-ipv4-stable-30d', 'system-v3-pc-engines', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,40.4315,-80.0385,20210906,https://atlas.ripe.net/api/v2/probes/6388/,Connected,Pittsburgh
6389,6389,208.86.250.253,2607:f7c0:0:400:c0f0:bfe6:0:2,36444,36444,208.86.248.0/21,2607:f7c0::/32,True,True,1,1630387784,1534666986,96288614,"['system-ipv6-stable-1d', 'system-ipv4-stable-1d', 'system-ipv6-stable-90d', 'system-ipv6-stable-30d', 'system-ipv4-stable-30d', 'system-ipv4-stable-90d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-v3-pc-engines', 'system-ipv6-capable', 'system-ipv4-capable', 'system-anchor']",US,42.4515,-83.2585,20210906,https://atlas.ripe.net/api/v2/probes/6389/,Connected,Southfield
