,CITY A,LATITUDE A,LONGITUDE A,CITY B,LATITUDE B,LONGITUDE B,GREAT CIRCLE DISTANCE (IN KM)
268,New York,40.7115,-74.0105,New York,40.7115,-74.0105,0.0
269,New York,40.7115,-74.0105,Virginia,38.9475,-77.3715,347.5855956710782
270,New York,40.7115,-74.0105,Texas,32.7975,-96.8195,2205.9848946852685
271,New York,40.7115,-74.0105,Washington,47.6205,-122.3625,3867.3356190823647
272,New York,40.7115,-74.0105,Virginia,38.9475,-77.3715,347.5855956710782
273,New York,40.7115,-74.0105,Virginia,38.9475,-77.3715,347.5855956710782
274,New York,40.7115,-74.0105,California,37.7195,-122.3985,4129.137548671449
275,New York,40.7115,-74.0105,New York,40.7115,-74.0105,0.0
276,New York,40.7115,-74.0105,North Carolina,35.3305,-81.8715,911.5467002954958
277,New York,40.7115,-74.0105,Illinois,40.4595,-87.6595,1151.7766139244634
278,New York,40.7115,-74.0105,Pennsylvania,39.9585,-75.6095,159.30614333349547
279,New York,40.7115,-74.0105,Pennsylvania,39.9585,-75.6095,159.30614333349547
280,New York,40.7115,-74.0105,Iowa,41.2585,-95.8625,1830.4044498664146
281,New York,40.7115,-74.0105,California,37.7195,-122.3985,4129.137548671449
282,New York,40.7115,-74.0105,Virginia,38.9475,-77.3715,347.5855956710782
283,New York,40.7115,-74.0105,Kansas,38.9505,-95.2625,1820.762466174579
284,New York,40.7115,-74.0105,Virginia,38.9475,-77.3715,347.5855956710782
285,New York,40.7115,-74.0105,Colorado,39.7385,-104.9885,2618.5659178275414
286,New York,40.7115,-74.0105,California,37.7195,-122.3985,4129.137548671449
287,New York,40.7115,-74.0105,Kansas,38.9505,-95.2625,1820.762466174579
288,New York,40.7115,-74.0105,California,37.7195,-122.3985,4129.137548671449
289,New York,40.7115,-74.0105,Virginia,38.9475,-77.3715,347.5855956710782
290,New York,40.7115,-74.0105,Illinois,40.4595,-87.6595,1151.7766139244634
291,New York,40.7115,-74.0105,California,37.7195,-122.3985,4129.137548671449
292,New York,40.7115,-74.0105,California,37.7195,-122.3985,4129.137548671449
293,New York,40.7115,-74.0105,Texas,32.7975,-96.8195,2205.9848946852685
294,New York,40.7115,-74.0105,Texas,32.7975,-96.8195,2205.9848946852685
295,New York,40.7115,-74.0105,Washington,47.6205,-122.3625,3867.3356190823647
296,New York,40.7115,-74.0105,Virginia,38.9475,-77.3715,347.5855956710782
297,New York,40.7115,-74.0105,Indiana,39.9615,-86.1525,1031.6881415202279
298,New York,40.7115,-74.0105,"Washington, D.C.",38.8995,-77.0205,326.6259142225153
299,New York,40.7115,-74.0105,Texas,32.7975,-96.8195,2205.9848946852685
300,New York,40.7115,-74.0105,Washington,47.6205,-122.3625,3867.3356190823647
301,New York,40.7115,-74.0105,Michigan,42.7105,-84.6685,911.5013207879881
302,New York,40.7115,-74.0105,Colorado,39.7385,-104.9885,2618.5659178275414
303,New York,40.7115,-74.0105,Georgia,33.7795,-84.4205,1199.8047912313455
304,New York,40.7115,-74.0105,Arizona,33.4215,-112.0125,3439.3855579196006
305,New York,40.7115,-74.0105,Florida,25.7885,-80.2295,1755.9839984012556
306,New York,40.7115,-74.0105,California,37.7195,-122.3985,4129.137548671449
307,New York,40.7115,-74.0105,Virginia,38.9475,-77.3715,347.5855956710782
308,New York,40.7115,-74.0105,California,37.7195,-122.3985,4129.137548671449
309,Washington,47.6205,-122.3625,Florida,25.7885,-80.2295,4393.978921759016
310,Washington,47.6205,-122.3625,Illinois,40.4595,-87.6595,2859.2708257912027
311,Washington,47.6205,-122.3625,Virginia,38.9475,-77.3715,3711.1719318519536
312,Washington,47.6205,-122.3625,New York,40.7115,-74.0105,3867.3356190823647
313,Washington,47.6205,-122.3625,California,37.7195,-122.3985,1100.9448682455716
314,Washington,47.6205,-122.3625,Michigan,42.7105,-84.6685,2974.732813581201
315,Washington,47.6205,-122.3625,Pennsylvania,39.9585,-75.6095,3787.887912324971
316,Washington,47.6205,-122.3625,North Carolina,35.3305,-81.8715,3590.1158081620665
317,Washington,47.6205,-122.3625,Missouri,39.0985,-94.5795,2421.125381413201
318,Washington,47.6205,-122.3625,Florida,25.7885,-80.2295,4393.978921759016
319,Washington,47.6205,-122.3625,North Carolina,35.3305,-81.8715,3590.1158081620665
320,Washington,47.6205,-122.3625,California,37.7195,-122.3985,1100.9448682455716
321,Washington,47.6205,-122.3625,Virginia,38.9475,-77.3715,3711.1719318519536
322,Washington,47.6205,-122.3625,Texas,32.7975,-96.8195,2702.96402579537
323,Washington,47.6205,-122.3625,Arizona,33.4215,-112.0125,1801.312202537613
324,Washington,47.6205,-122.3625,Georgia,33.7795,-84.4205,3503.795003960967
325,Washington,47.6205,-122.3625,Minnesota,48.5805,-96.5185,1912.9380575228174
326,Washington,47.6205,-122.3625,Massachusetts,42.3485,-71.0615,4002.3826816060337
327,Washington,47.6205,-122.3625,Florida,25.7885,-80.2295,4393.978921759016
328,Washington,47.6205,-122.3625,California,37.7195,-122.3985,1100.9448682455716
329,Washington,47.6205,-122.3625,Virginia,38.9475,-77.3715,3711.1719318519536
330,Washington,47.6205,-122.3625,Illinois,40.4595,-87.6595,2859.2708257912027
331,Washington,47.6205,-122.3625,California,37.7195,-122.3985,1100.9448682455716
332,Washington,47.6205,-122.3625,Utah,37.0815,-113.6225,1372.4467722263826
333,Washington,47.6205,-122.3625,Virginia,38.9475,-77.3715,3711.1719318519536
334,Washington,47.6205,-122.3625,Florida,25.7885,-80.2295,4393.978921759016
335,Washington,47.6205,-122.3625,New Jersey,40.3485,-74.6515,3838.649856582776
